R,75,38000.000000,208.903261,0.000000,208.903261
R,74,37500.000000,709.403261,0.000000,709.403261
A,38,39000.500000,208.048860,0.000000,208.048860
R,77,39000.000000,209.048860,0.000000,209.048860
R,76,38500.000000,709.548860,0.000000,709.548860
A,39,40000.500000,208.056154,0.000000,208.056154
R,79,40000.000000,209.056154,0.000000,209.056154
R,78,39500.000000,709.556154,0.000000,709.556154
A,40,41000.500000,208.023696,0.000000,208.023696
R,81,41000.000000,209.023696,0.000000,209.023696
R,80,40500.000000,709.523696,0.000000,709.523696
A,41,42000.500000,207.941004,0.000000,207.941004
R,83,42000.000000,208.941004,0.000000,208.941004
R,82,41500.000000,709.441004,0.000000,709.441004
A,42,43000.500000,208.044315,0.000000,208.044315
R,85,43000.000000,209.044315,0.000000,209.044315
R,84,42500.000000,709.544315,0.000000,709.544315
A,43,44000.500000,208.080103,0.000000,208.080103
R,87,44000.000000,209.080103,0.000000,209.080103
R,86,43500.000000,709.580103,0.000000,709.580103
A,44,45000.500000,208.007392,0.000000,208.007392
R,89,45000.000000,209.007392,0.000000,209.007392
R,88,44500.000000,709.507392,0.000000,709.507392
A,45,46000.500000,207.962649,0.000000,207.962649
R,91,46000.000000,208.962649,0.000000,208.962649
R,90,45500.000000,709.462649,0.000000,709.462649
A,46,47000.500000,208.028467,0.000000,208.028467
R,93,47000.000000,209.028467,0.000000,209.028467
R,92,46500.000000,709.528467,0.000000,709.528467
A,47,48000.500000,208.029960,0.000000,208.029960
R,95,48000.000000,209.029960,0.000000,209.029960
R,94,47500.000000,709.529960,0.000000,709.529960
A,48,49000.500000,207.966083,0.000000,207.966083
R,97,49000.000000,208.966083,0.000000,208.966083
R,96,48500.000000,709.466083,0.000000,709.466083
A,49,50000.500000,208.012367,0.000000,208.012367
R,99,50000.000000,209.012367,0.000000,209.012367
R,98,49500.000000,709.512367,0.000000,709.512367
A,50,51000.500000,207.981303,0.000000,207.981303
R,101,51000.000000,208.981303,0.000000,208.981303
R,100,50500.000000,709.481303,0.000000,709.481303
A,51,52000.500000,207.966824,0.000000,207.966824
R,103,52000.000000,208.966824,0.000000,208.966824
R,102,51500.000000,709.466824,0.000000,709.466824
A,52,53000.500000,208.029591,0.000000,208.029591
R,105,53000.000000,209.029591,0.000000,209.029591
R,104,52500.000000,709.529591,0.000000,709.529591
A,53,54000.500000,208.139581,0.000000,208.139581
R,107,54000.000000,209.139581,0.000000,209.139581
R,106,53500.000000,709.639581,0.000000,709.639581
A,54,55000.500000,207.917320,0.000000,207.917320
R,109,55000.000000,208.917320,0.000000,208.917320
R,108,54500.000000,709.417320,0.000000,709.417320
A,55,56000.500000,208.093083,0.000000,208.093083
R,111,56000.000000,209.093083,0.000000,209.093083
R,110,55500.000000,709.593083,0.000000,709.593083
A,56,57000.500000,208.086406,0.000000,208.086406
R,113,57000.000000,209.086406,0.000000,209.086406
R,112,56500.000000,709.586406,0.000000,709.586406
A,57,58000.500000,207.991820,0.000000,207.991820
R,115,58000.000000,208.991820,0.000000,208.991820
R,114,57500.000000,709.491820,0.000000,709.491820
A,58,59000.500000,207.994577,0.000000,207.994577
R,117,59000.000000,208.994577,0.000000,208.994577
R,116,58500.000000,709.494577,0.000000,709.494577
